"Tiempo (s) Serie Nº 4";"Aceleración - y (m/s²) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Aceleración - y (m/s²) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5";"Tiempo (s) Serie Nº 6";"Aceleración - y (m/s²) Serie Nº 6";"Vector velocidad (m/s) Serie Nº 6";"Tiempo (s) Serie Nº 7";"Aceleración - y (m/s²) Serie Nº 7";"Vector velocidad (m/s) Serie Nº 7";"Tiempo (s) Serie Nº 8";"Aceleración - y (m/s²) Serie Nº 8";"Vector velocidad (m/s) Serie Nº 8";"Tiempo (s) Serie Nº 9";"Aceleración - y (m/s²) Serie Nº 9";"Vector velocidad (m/s) Serie Nº 9";"Tiempo (s) Serie Nº 10";"Aceleración - y (m/s²) Serie Nº 10";"Vector velocidad (m/s) Serie Nº 10";"Tiempo (s) Serie Nº 12";"Aceleración - y (m/s²) Serie Nº 12";"Vector velocidad (m/s) Serie Nº 12";"Tiempo (s) Serie Nº 13";"Aceleración - y (m/s²) Serie Nº 13";"Vector velocidad (m/s) Serie Nº 13";"Tiempo (s) Serie Nº 14";"Aceleración - y (m/s²) Serie Nº 14";"Vector velocidad (m/s) Serie Nº 14"
3,400;9,8;0,065;3,400;9,7;0,077;3,400;9,6;0,240;3,400;9,6;0,456;3,400;9,1;0,142;3,400;9,4;-8,084E-4;3,400;9,3;0,028;3,400;9,9;-0,257;3,400;10,8;0,008;3,400;9,6;0,018
3,450;9,8;0,096;3,450;9,7;0,117;3,450;9,6;0,274;3,450;9,6;0,396;3,450;9,5;-0,013;3,450;9,4;-4,042E-4;3,450;9,8;0,013;3,450;9,8;-0,194;3,450;5,7;-0,288;3,450;9,5;0,009
3,500;9,8;0,127;3,500;9,7;0,160;3,500;9,6;0,306;3,500;9,4;0,133;3,500;9,7;-0,017;3,500;9,3;0,000;3,500;9,2;0,013;3,500;9,7;-0,128;3,500;4,9;-0,363;3,500;9,3;0,000
3,550;9,8;0,158;3,550;9,8;0,205;3,550;9,6;0,346;3,550;6,8;-0,192;3,550;9,5;0,070;3,550;9,4;0,000;3,550;9,3;0,002;3,550;9,8;-0,064;3,550;8,8;-0,255;3,550;9,4;
3,600;9,8;0,189;3,600;9,6;0,250;3,600;9,7;0,399;3,600;11,1;-0,374;3,600;9,4;0,097;3,600;9,4;0,000;3,600;9,2;0,003;3,600;9,7;-0,014;3,600;9,9;-0,139;;;
3,650;9,9;0,219;3,650;9,7;0,296;3,650;10,0;0,464;3,650;10,1;-0,349;3,650;9,5;0,072;3,650;9,4;0,000;3,650;9,3;0,001;3,650;9,7;0,015;3,650;9,6;-0,038;;;
3,700;9,8;0,250;3,700;9,9;0,345;3,700;9,4;0,530;3,700;10,1;-0,248;3,700;9,6;0,034;3,700;9,4;0,000;3,700;9,3;0,001;3,700;9,7;0,034;3,700;9,6;0,038;;;
3,750;9,9;0,280;3,750;9,8;0,395;3,750;9,5;0,594;3,750;9,4;-0,139;3,750;9,4;0,014;3,750;9,4;0,000;3,750;9,2;0,001;3,750;9,8;0,057;3,750;9,6;0,090;;;
3,800;9,7;0,310;3,800;9,5;0,445;3,800;9,9;0,523;3,800;9,6;-0,031;3,800;9,5;-0,002;3,800;9,4;0,000;3,800;9,3;0,001;3,800;9,8;0,086;3,800;9,6;0,130;;;
3,850;9,8;0,340;3,850;9,5;0,496;3,850;9,4;0,219;3,850;9,5;0,076;3,850;9,5;4,042E-4;3,850;9,4;0,000;3,850;9,2;8,084E-4;3,850;9,8;;3,850;9,5;0,168;;;
3,900;9,7;0,371;3,900;9,5;0,546;3,900;7,5;-0,184;3,900;9,6;0,181;3,900;9,5;0,000;3,900;9,4;0,000;3,900;9,3;4,042E-4;;;;3,900;9,5;0,206;;;
3,950;9,8;0,401;3,950;9,6;0,600;3,950;13,4;-0,452;3,950;9,6;0,283;3,950;9,4;0,000;3,950;9,4;0,000;3,950;9,3;0,000;;;;3,950;9,6;;;;
4,000;9,7;0,430;4,000;9,5;0,654;4,000;9,6;-0,483;4,000;9,6;0,373;4,000;9,5;0,000;4,000;9,4;0,000;4,000;9,3;0,000;;;;;;;;;
4,050;10,0;0,461;4,050;8,9;0,657;4,050;10,3;-0,408;4,050;9,6;0,337;4,050;9,5;4,042E-4;4,050;9,4;0,000;4,050;9,3;0,000;;;;;;;;;
4,100;9,8;0,492;4,100;10,7;0,411;4,100;9,6;-0,327;4,100;9,4;0,116;4,100;9,5;8,084E-4;4,100;9,4;0,000;4,100;9,3;0,000;;;;;;;;;
4,150;9,8;0,522;4,150;10,5;-0,042;4,150;9,7;-0,244;4,150;9,0;-0,170;4,150;9,4;8,084E-4;4,150;9,4;0,000;4,150;9,3;0,000;;;;;;;;;
4,200;9,8;0,552;4,200;11,2;-0,456;4,200;9,7;-0,161;4,200;9,5;-0,334;4,200;9,5;4,042E-4;4,200;9,4;0,000;4,200;9,2;0,000;;;;;;;;;
4,250;9,7;0,581;4,250;10,1;-0,620;4,250;9,6;-0,078;4,250;9,5;-0,310;4,250;9,5;0,000;4,250;9,4;0,000;4,250;9,3;0,000;;;;;;;;;
4,300;9,8;0,611;4,300;9,7;-0,574;4,300;9,6;0,003;4,300;9,5;-0,208;4,300;9,4;0,000;4,300;9,4;0,000;4,300;9,3;0,000;;;;;;;;;
4,350;9,6;0,641;4,350;9,7;-0,515;4,350;9,6;0,083;4,350;9,5;-0,100;4,350;9,5;0,000;4,350;9,4;0,000;4,350;9,3;0,000;;;;;;;;;
4,400;9,7;0,670;4,400;9,7;-0,453;4,400;9,7;0,162;4,400;9,5;0,008;4,400;9,5;0,000;4,400;9,4;0,000;4,400;9,3;0,000;;;;;;;;;
4,450;9,6;0,639;4,450;9,6;-0,391;4,450;9,6;0,239;4,450;9,6;;4,450;9,5;0,000;4,450;9,4;0,000;4,450;9,2;4,042E-4;;;;;;;;;
4,500;9,8;0,378;4,500;9,8;-0,330;4,500;9,6;0,316;;;;4,500;9,5;0,000;4,500;9,4;0,000;4,500;9,3;8,084E-4;;;;;;;;;
4,550;9,7;-0,061;4,550;9,7;-0,269;4,550;9,7;0,390;;;;4,550;9,5;0,000;4,550;9,4;0,000;4,550;9,3;8,084E-4;;;;;;;;;
4,600;10,1;-0,450;4,600;9,8;-0,208;4,600;10,9;0,461;;;;4,600;9,5;0,000;4,600;9,4;0,000;4,600;9,2;4,042E-4;;;;;;;;;
4,650;9,7;-0,610;4,650;9,7;-0,147;4,650;9,6;0,454;;;;4,650;9,5;0,000;4,650;9,4;0,000;4,650;9,3;0,000;;;;;;;;;
4,700;9,8;-0,590;4,700;9,7;-0,085;4,700;9,7;0,251;;;;4,700;9,5;0,000;4,700;9,3;0,000;4,700;9,3;0,000;;;;;;;;;
4,750;9,9;-0,559;4,750;9,8;-0,023;4,750;8,4;-0,077;;;;4,750;9,5;0,000;4,750;9,4;0,000;4,750;9,2;;;;;;;;;;
4,800;9,6;-0,525;4,800;9,7;0,038;4,800;9,2;-0,334;;;;4,800;9,5;0,000;4,800;9,4;0,000;;;;;;;;;;;;
